"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,1,0
"2",10,19,6
"3",11,135,45
"4",12,788,244
"5",13,2437,787
"6",14,4585,1450
"7",15,4382,1256
"8",16,2949,807
"9",17,2082,501
"10",18,1060,240
"11",19,765,161
"12",20,566,107
"13",21,382,81
"14",22,270,38
"15",23,169,26
"16",24,158,19
"17",25,146,19
"18",26,112,10
"19",27,101,12
"20",28,71,12
"21",29,89,16
"22",30,102,15
"23",31,170,21
"24",32,137,23
"25",33,162,20
"26",34,105,10
"27",35,111,8
"28",36,109,16
"29",37,262,40
"30",38,371,45
"31",39,427,66
"32",40,599,74
"33",41,959,155
"34",42,1870,315
"35",43,3877,660
"36",44,6086,1056
"37",45,7439,1254
"38",46,8942,1752
"39",47,10799,2225
"40",48,12390,2531
"41",49,14233,3190
"42",50,18384,4152
"43",51,21153,4621
"44",52,18479,3997
"45",53,17428,4086
"46",54,19145,4065
"47",55,17272,3676
"48",56,13716,2843
"49",57,10387,2100
"50",58,7655,1534
"51",59,5239,1092
"52",60,4519,902
"53",61,3808,721
"54",62,3122,591
"55",63,3186,593
"56",64,3543,623
"57",65,4048,706
"58",66,3708,706
"59",67,3752,676
"60",68,4213,697
"61",69,3999,650
"62",70,3217,532
"63",71,2767,418
"64",72,1950,294
"65",73,1403,200
"66",74,779,114
"67",75,499,62
"68",76,313,30
"69",77,155,18
"70",78,90,11
"71",79,70,9
"72",80,92,11
"73",81,109,10
"74",82,150,12
"75",83,234,15
"76",84,324,13
"77",85,305,4
